averageDepthQuote,**average depth quote,xsd:string,what is the average depth quote of <X>,what is the average depth quote of <X>,,,http://dbpedia.org/ontology/averageDepthQuote,1
averageSpeed,average speed,Speed,what is the average speed of <X>,what is the average speed of <X>,1,,http://dbpedia.org/ontology/averageSpeed,9
avifaunaPopulation,avifauna population,xsd:string,what is the avifauna population of <X>,what is the population of avifauna of <X>,0.8,better: what is the population of avifauna of x,,
award,award,Award,what is the award of <X>,what did <X> win,0.3,,http://dbpedia.org/ontology/award,1
awayColourHexCode,colour hex code of away jersey or its parts,xsd:string,what is the colour hex code of away jersey or its parts of <X>,what is the colour hex code of away jersey or its parts of <X>,1,,,
background,background,xsd:string,what is the background of <X>,what is the background of <X>,1,,http://dbpedia.org/ontology/background,12354
battery,battery,Battery,what is the battery of <X>,what is the battery of <X>,1,,http://dbpedia.org/ontology/battery,1744
battle,battle,MilitaryConflict,what is the battle of <X>,what is the battle of <X>,1,,http://dbpedia.org/ontology/battle,17
bibsysId,BIBSYS Id,xsd:string,what is the BIBSYS Id of <X>,what is the BIBSYS Id of <X>,1,,http://dbpedia.org/ontology/bibsysId,3
biggestCity,biggest city,PopulatedPlace,what is the biggest city of <X>,which is the biggest city of <X>,0.5,which instead of what,,
bioclimate,bioclimate,xsd:string,what is the bioclimate of <X>,what is the bioclimate of <X>,1,,,
biome,biome,owl:Thing,what is the biome of <X>,what is the biome of <X>,1,,http://dbpedia.org/ontology/biome,391
bird,bird,Species,what is the bird of <X>,what is the bird of <X>,1,,http://dbpedia.org/ontology/bird,411
blackLongDistancePisteNumber,*long distance piste number,xsd:nonNegativeInteger,what is the long distance piste number of <X>,what is the long distance piste number of <X>,1,"but, subset of words also correct. eg: what is the long distance number of ..",,
blackSkiPisteNumber,black ski piste number,xsd:nonNegativeInteger,what is the black ski piste number of <X>,what is the black ski piste number of <X>,1,,,
blazon,*blazon,xsd:string,what is the blazon of <X>,what is the blazon of <X>,1,,http://dbpedia.org/ontology/blazon,169
blazonLink,*blazon link,xsd:string,what is the blazon link of <X>,what is the blazon link of <X>,0.5,better: what is the link for blazon for x,,
blazonRatio,*blazon ratio,xsd:double,what is the blazon ratio of <X>,what is the blazon ratio of <X>,0.5,better: what is the blazon ratio for,,
blueLongDistancePisteNumber,blue long distance piste number,xsd:nonNegativeInteger,what is the blue long distance piste number of <X>,what is the blue long distance piste number of <X>,,,,
blueSkiPisteNumber,blue ski piste number,xsd:nonNegativeInteger,what is the blue ski piste number of <X>,what is the blue ski piste number of <X>,,,,
bnfId,BNF Id,xsd:string,what is the BNF Id of <X>,what is the BNF Id of <X>,1,,http://dbpedia.org/ontology/bnfId,97
book,name,xsd:string,what is the name of <X>,what is the name of <X>,1,,http://dbpedia.org/ontology/book,1778
border,border,Area,what is the border of <X>,what is the border of <X>,1,,http://dbpedia.org/ontology/border,15973
bpnId,BPN Id,xsd:string,what is the BPN Id of <X>,what is the BPN Id of <X>,1,,http://dbpedia.org/ontology/bpnId,1
budget,budget,Currency,what is the budget of <X>,what is the budget of <X>,1,,http://dbpedia.org/ontology/budget,4364
budgetYear,budget year,xsd:string,what is the budget year of <X>,what is the budget year of <X>,1,,http://dbpedia.org/ontology/budgetYear,88
builder,builder,owl:Thing,who is the builder of <X>,what is the builder of <X>,0.2,who but range not Person,http://dbpedia.org/ontology/builder,5921
buildingEndDate,building end date,xsd:string,what is the building end date of <X>,what is the building end date of <X>,0.8,what or when is the building end date of x,http://dbpedia.org/ontology/buildingEndDate,16636
buildingStartDate,building start date,xsd:string,what is the building start date of <X>,what is the building start date of <X>,0.8,,http://dbpedia.org/ontology/buildingStartDate,11634
cableCar,cable car,xsd:nonNegativeInteger,what is the cable car of <X>,what is the cable car of <X>,1,,,
calculationNeeds,its calculation needs,owl:Thing,what are the calculation needs of <X>,what are the calculation needs of <X>,0.2,are instead of is,,
callSign,call sign,xsd:string,what is the call sign of <X>,what is the call sign of <X>,1,,http://dbpedia.org/ontology/callSign,8
cannonNumber,cannon number,xsd:nonNegativeInteger,what is the cannon number of <X>,what is the cannon number of <X>,1,,,
capacity,capacity,xsd:nonNegativeInteger,what is the capacity of <X>,what is the capacity of <X>,1,,http://dbpedia.org/ontology/capacity,14345
capitalCoordinates,capital coordinates,xsd:string,what are the capital coordinates of <X>,what are the coordinates of capital of <X>,0.2,are instead of is,,
casNumber,CAS number,xsd:string,what is the CAS number of <X>,what is the CAS number of <X>,1,,http://dbpedia.org/ontology/casNumber,3739
casSupplemental,CAS supplemental,xsd:string,what is the CAS supplemental of <X>,what is the CAS supplemental of <X>,11,,http://dbpedia.org/ontology/casSupplemental,8
category,category,owl:Thing,what is the category of <X>,what is the category of <X>,1,,http://dbpedia.org/ontology/category,14455
chain,chain,Company,what is the chain of <X>,what is the chain of <X>,1,,http://dbpedia.org/ontology/chain,50
chairLabel,chair label,owl:Thing,what is the chair label of <X>,what is the label of <X>'s chair,0.5,,http://dbpedia.org/ontology/chairLabel,1074
chairman,chairman,Person,who is the chairman of <X>,who is the chairman of <X>,1,"who instead of what, 1",http://dbpedia.org/ontology/chairman,1
chancellor,chancellor,Person,who is the chancellor of <X>,who is the chancellor of <X>,1,"who instead of what, 1",http://dbpedia.org/ontology/chancellor,1353
channel,channel,Broadcaster,what is the channel of <X>,what is the channel of <X>,0.9,,http://dbpedia.org/ontology/channel,563
chiefPlace,chief place,PopulatedPlace,which is the chief place of <X>,which is the chief place of <X>,0.5,which instead of what,,
city,city,City,what is the city of <X>,what is the city of <X>,0.8,maybe which suits better instead of whhat,http://dbpedia.org/ontology/city,1
cityLink,city link,xsd:string,what is the city link of <X>,what is the city link of <X>,1,,http://dbpedia.org/ontology/cityLink,45
class,class,owl:Thing,what is the class of <X>,what is the class of <X>,1,,http://dbpedia.org/ontology/class,1
classification,classification,xsd:string,what is the classification of <X>,what is the classification of <X>,1,,http://dbpedia.org/ontology/classification,5149
climate,climate,owl:Thing,what is the climate of <X>,how is the climate of <X>,0.5,how instead of what,http://dbpedia.org/ontology/climate,79
climbUpNumber,clip up number,xsd:nonNegativeInteger,what is the clip up number of <X>,what is the clip up number of <X>,1,,,
closeTo,is close to,Place,what is the is close to of <X>,what is the is close to of <X>,,,,
closingDate,closing date,xsd:date,what is the closing date of <X>,what is the closing date of <X>,,,http://dbpedia.org/ontology/closingDate,338
closingYear,closing year,xsd:gYear,what is the closing year of <X>,what is the closing year of <X>,,,http://dbpedia.org/ontology/closingYear,205
coach,coach,Person,what is the coach of <X>,what is the coach of <X>,,,http://dbpedia.org/ontology/coach,1
coachedTeam,coached team,SportsTeam,what is the coached team of <X>,what is the coached team of <X>,,,http://dbpedia.org/ontology/coachedTeam,200
coastLength,length of a coast,xsd:float,what is the length of a coast of <X>,what is the length of a coast of <X>,,,,
coatOfArms,coat of arms image,owl:Thing,what is the coat of arms image of <X>,what is the coat of arms image of <X>,,,http://dbpedia.org/ontology/coatOfArms,1700
code,code,xsd:string,what is the code of <X>,what is the code of <X>,,,http://dbpedia.org/ontology/code,10079
codeMunicipalMonument,monument code (municipal),xsd:string,what is the monument code (municipal) of <X>,what is the monument code (municipal) of <X>,,,,
codeNationalMonument,monument code (national),xsd:string,what is the monument code (national) of <X>,what is the monument code (national) of <X>,,,,
codeProvincialMonument,monument code (provinciall),xsd:string,what is the monument code (provinciall) of <X>,what is the monument code (provinciall) of <X>,,,,
collectionSize,country,owl:Thing,what is the country of <X>,what is the country of <X>,,,http://dbpedia.org/ontology/collectionSize,847
colour,colour,Colour,what is the colour of <X>,what is the colour of <X>,,,http://dbpedia.org/ontology/colour,6556
colourHexCode,colour hex code,xsd:string,what is the colour hex code of <X>,what is the colour hex code of <X>,,,http://dbpedia.org/ontology/colourHexCode,1105
colourName,colour name,rdf:langString,what is the colour name of <X>,what is the colour name of <X>,,,http://dbpedia.org/ontology/colourName,8796
commandant,commandant,Person,who is the commandant of <X>,who is the commandant of <X>,1,who,http://dbpedia.org/ontology/commandant,14
commander,commander,Person,who is the commander of <X>,who is the commander of <X>,1,who,http://dbpedia.org/ontology/commander,6434
comment,comment,xsd:string,what is the comment of <X>,what is the comment of <X>,,,http://dbpedia.org/ontology/comment,1145
committee,committee,xsd:string,what is the committee of <X>,what is the committee of <X>,,,http://dbpedia.org/ontology/committee,182
commonName,common name,rdf:langString,what is the common name of <X>,what is the common name of <X>,,,http://dbpedia.org/ontology/commonName,236
company,company,Organisation,what is the company of <X>,what is the company of <X>,,,http://dbpedia.org/ontology/company,6999
conflict,conflict,MilitaryConflict,what is the conflict of <X>,what is the conflict of <X>,,,http://dbpedia.org/ontology/conflict,85
connotation,connotation,owl:Thing,what is the connotation of <X>,what is the connotation of <X>,,,http://dbpedia.org/ontology/connotation,34
constituencyDistrict,constituency district,PopulatedPlace,what is the constituency district of <X>,what is the constituency district of <X>,0.9,,,
cosparId,COSPAR id,xsd:string,what is the COSPAR id of <X>,what is the COSPAR id of <X>,,,http://dbpedia.org/ontology/cosparId,1
cost,cost,Currency,what is the cost of <X>,what is the cost of <X>,,,http://dbpedia.org/ontology/cost,2279
country,country,Country,what is the country of <X>,what country does <X> belong to,0.5,,http://dbpedia.org/ontology/country,3
countryCode,country code,xsd:string,what is the country code of <X>,what is the country code of <X>,,,http://dbpedia.org/ontology/countryCode,744
county,county,PopulatedPlace,what is the county of <X>,what is the county of <X>,0.8,,http://dbpedia.org/ontology/county,41943
courseArea,course area,Area,what is the course area of <X>,what is the course area of <X>,0.9,,,
cpu,CPU,owl:Thing,what is the CPU of <X>,what is the CPU of <X>,,,http://dbpedia.org/ontology/cpu,1211
creationYear,year of creation,xsd:gYear,what is the year of creation of <X>,what is the year of creation of <X>,,,http://dbpedia.org/ontology/creationYear,3
creator,creator (agent),Agent,who is the creator (agent) of <X>,who is the creator of <X>,0.5,what or who depends (who majorly),http://dbpedia.org/ontology/creator,1
crest,crest,owl:Thing,what is the crest of <X>,what is the crest of <X>,,,http://dbpedia.org/ontology/crest,1577
criteria,criteria,xsd:string,what is the criteria of <X>,what is the criteria of <X>,,,http://dbpedia.org/ontology/criteria,957
cuisine,cuisine,xsd:string,what is the cuisine of <X>,what is the cuisine of <X>,,,http://dbpedia.org/ontology/cuisine,1
currency,currency,Currency,what is the currency of <X>,what is the currency of <X>,,,http://dbpedia.org/ontology/currency,1162
currencyCode,currency code,xsd:string,what is the currency code of <X>,what is the currency code of <X>,,,http://dbpedia.org/ontology/currencyCode,296
currentCity,current city,City,what is the current city of <X>,which city is the current city of <X>,,which,http://dbpedia.org/ontology/currentCity,29
currentStatus,current status,xsd:string,what is the current status of <X>,what is the current status of <X>,,,http://dbpedia.org/ontology/currentStatus,2703
date,date,xsd:date,what is the date of <X>,what is the date of <X>,,,http://dbpedia.org/ontology/date,944062
dateAgreement,date of an agreement,xsd:date,what is the date of an agreement of <X>,what is the date of an agreement of <X>,,,,
dateBudget,date budget,xsd:date,what is the date budget of <X>,what is the date budget of <X>,,,,
dateOfAbandonment,date of abandonment,xsd:date,what is the date of abandonment of <X>,what is the date of abandonment of <X>,,,http://dbpedia.org/ontology/dateOfAbandonment,200
daylightSavingTimeZone,daylight saving time zone,owl:Thing,what is the daylight saving time zone of <X>,what is the daylight saving time zone of <X>,,,http://dbpedia.org/ontology/daylightSavingTimeZone,4677
dc:creator,creator (literal),xsd:string,what is the creator (literal) of <X>,what is the creator (literal) of <X>,,,,
dc:identifier,identifier,xsd:string,what is the identifier of <X>,what is the identifier of <X>,,,,
dc:language,language (literal),xsd:string,what is the language (literal) of <X>,what is the language (literal) of <X>,,,,
dc:rights,rights,owl:Thing,what is the rights of <X>,what is the rights of <X>,,,,
dc:subject,subject,owl:Thing,what is the subject of <X>,what is the subject of <X>,,,,
dc:title,title,xsd:string,what is the title of <X>,what is the title of <X>,,,,
dc:type,type (literal),xsd:string,what is the type (literal) of <X>,what is the type (literal) of <X>,,,,
dct:created,Date or range when this object was created,xsd:string,what is the Date or range when this object was created of <X>,what is the Date or range when this object was created of <X>,,,,
dct:dateSubmitted,date submitted,xsd:date,what is the date submitted of <X>,what is the date submitted of <X>,,,,
dct:description,Description,rdf:langString,what is the Description of <X>,what is the Description of <X>,,,,
dct:extent,medium,xsd:string,what is the medium of <X>,what is the medium of <X>,,,,
dct:format,format (literal),xsd:string,what is the format (literal) of <X>,what is the format (literal) of <X>,,,,
dct:medium,medium,xsd:string,what is the medium of <X>,what is the medium of <X>,,,,
dct:modified,modified,xsd:date,what is the modified of <X>,what is the modified of <X>,,,,
dct:spatial,spatial,owl:Thing,what is the spatial of <X>,what is the spatial of <X>,,,,
dct:subject,subject,owl:Thing,what is the subject of <X>,what is the subject of <X>,,,,
dct:temporal,temporal,owl:Thing,what is the temporal of <X>,what is the temporal of <X>,,,,
dct:type,type,owl:Thing,what is the type of <X>,what is the type of <X>,,,,
deFactoLanguage,de facto language,Language,what is the de facto language of <X>,what is the de facto language of <X>,,,,
deliveryDate,delivery date,xsd:date,what is the delivery date of <X>,what is the delivery date of <X>,,,http://dbpedia.org/ontology/deliveryDate,34
demonym,demonym,rdf:langString,what is the demonym of <X>,what is the demonym of <X>,,,http://dbpedia.org/ontology/demonym,2476
density,density,Density,what is the density of <X>,what is the density of <X>,1,,http://dbpedia.org/ontology/density,2327
depictionDescription,depiction description (caption),rdf:langString,what is the depiction description (caption) of <X>,what is the depiction description (caption) of <X>,1,,http://dbpedia.org/ontology/depictionDescription,2710
depth,depth,Length,what is the depth of <X>,what is the depth of <X>,,,http://dbpedia.org/ontology/depth,1873
depthQuote,depth quote,xsd:string,what is the depth quote of <X>,what is the depth quote of <X>,,,,
depths,depths,Depth,what is the depths of <X>,what are the depths of <X>,0.4,are instead of is,,
deputy,deputy,Person,who is the deputy of <X>,who is the deputy of <X>,1,,http://dbpedia.org/ontology/deputy,1927
description,description,rdf:langString,what is the description of <X>,what is the description of <X>,1,,http://dbpedia.org/ontology/description,1289109
designCompany,designer company,Company,what is the designer company of <X>,which company is the designer of <X>,0.5,which,http://dbpedia.org/ontology/designCompany,1528
designer,designer,Person,who is the designer of <X>,who is the designer of <X>,1,what or who depends (who majorly),http://dbpedia.org/ontology/designer,17143
destructionDate,destruction date,xsd:date,what is the destruction date of <X>,when was <X> destroyed,0.5,,http://dbpedia.org/ontology/destructionDate,83
developer,developer,Agent,what is the developer of <X>,what is the developer of <X>,,,http://dbpedia.org/ontology/developer,15795
diameter,diameter,Length,what is the diameter of <X>,what is the diameter of <X>,,,http://dbpedia.org/ontology/diameter,2515
diocese,diocese,Diocese,what is the diocese of <X>,what is the diocese of <X>,,,http://dbpedia.org/ontology/diocese,9284
discoverer,discoverer,Person,who is the discoverer of <X>,who is the discoverer of <X>,1,,http://dbpedia.org/ontology/discoverer,536
disease,disease,Disease,what is the disease of <X>,what is the disease of <X>,,,http://dbpedia.org/ontology/disease,34
distance,distance,Length,what is the distance of <X>,what is the distance of <X>,,,http://dbpedia.org/ontology/distance,6921
distributor,distributor,Organisation,what is the distributor of <X>,who is the distributor of <X>,1,,http://dbpedia.org/ontology/distributor,20520
district,district,PopulatedPlace,what is the district of <X>,what is the district of <X>,1,,http://dbpedia.org/ontology/district,1
division,division,owl:Thing,what is the division of <X>,what is the division of <X>,1,,http://dbpedia.org/ontology/division,12337
documentDesignation,String designation of the WrittenWork describing the resource,xsd:string,what is the String designation of the WrittenWork describing the resource of <X>,what is the String designation of the WrittenWork describing <X>,0.5,omit subwords and of,,
draft,draft,xsd:string,what is the draft of <X>,what is the draft of <X>,1,,http://dbpedia.org/ontology/draft,314
draftYear,draft year,xsd:gYear,what is the draft year of <X>,what is the draft year of <X>,,,http://dbpedia.org/ontology/draftYear,5
drugbank,DrugBank,xsd:string,what is the DrugBank of <X>,what is the DrugBank of <X>,,,http://dbpedia.org/ontology/drugbank,75
duration,duration,Time,what is the duration of <X>,what is the duration of <X>,1,,http://dbpedia.org/ontology/duration,6021
dynasty,dynasty,owl:Thing,what is the dynasty of <X>,what is the dynasty of <X>,,,http://dbpedia.org/ontology/dynasty,2228
eastPlace,east place,Place,what is the east place of <X>,where is the east place of <X>,0.8,,,
editor,editor,Agent,what is the editor of <X>,what is the editor of <X>,,,http://dbpedia.org/ontology/editor,1
einecsNumber,EINECS number,xsd:string,what is the EINECS number of <X>,what is the EINECS number of <X>,,,,
electionMajority,election majority,xsd:nonNegativeInteger,what is the election majority of <X>,what is the election majority of <X>,,,http://dbpedia.org/ontology/electionMajority,2055
elementAbove,element above,ChemicalSubstance,what is the element above of <X>,what is the element above <X>,0.5,omit of,,
elevation,elevation,Length,what is the elevation of <X>,what is the elevation of <X>,,,http://dbpedia.org/ontology/elevation,4321
elevationQuote,elevation quote,xsd:string,what is the elevation quote of <X>,what is the elevation quote of <X>,,,http://dbpedia.org/ontology/elevationQuote,2
endOccupation,end occupation,xsd:string,what is the end occupation of <X>,what is the end occupation of <X>,,,,
endPoint,end point,Place,what is the end point of <X>,where is the end point of <X>,0.6,,http://dbpedia.org/ontology/endPoint,75
endYear,end year,xsd:gYear,what is the end year of <X>,what is the end year of <X>,,,http://dbpedia.org/ontology/endYear,2671
endangeredSince,endangered since,xsd:date,what is the endangered since of <X>,what is the endangered since of <X>,,,,
engineer,engineer,Person,what is the engineer of <X>,what is the engineer of <X>,,,http://dbpedia.org/ontology/engineer,1
era,era,owl:Thing,what is the era of <X>,what is the era of <X>,,,http://dbpedia.org/ontology/era,3766
ethnicGroupsInYear,ethnic groups in year,xsd:gYear,what is the ethnic groups in year of <X>,what is the ethnic groups in year of <X>,,,http://dbpedia.org/ontology/ethnicGroupsInYear,120
event,event,Event,what is the event of <X>,what is the event of <X>,,,http://dbpedia.org/ontology/event,70001
eventDate,event date,xsd:date,what is the event date of <X>,what is the event date of <X>,,,,
executiveProducer,executive producer,Person,what is the executive producer of <X>,what is the executive producer of <X>,,,http://dbpedia.org/ontology/executiveProducer,10084
exhibition,exhibition,xsd:string,what is the exhibition of <X>,what is the exhibition of <X>,,,http://dbpedia.org/ontology/exhibition,1
existence,existence,owl:Thing,what is the existence of <X>,what is the existence of <X>,,,http://dbpedia.org/ontology/existence,147
extinctionDate,extinction date,xsd:date,what is the extinction date of <X>,what is the extinction date of <X>,,,http://dbpedia.org/ontology/extinctionDate,22
failedLaunches,failed launches,xsd:nonNegativeInteger,what is the failed launches of <X>,what is the failed launches of <X>,,,http://dbpedia.org/ontology/failedLaunches,200
fauna,fauna,xsd:string,what is the fauna of <X>,what is the fauna of <X>,,,http://dbpedia.org/ontology/fauna,29
fdaUniiCode,FDA UNII code,xsd:string,what is the FDA UNII code of <X>,what is the FDA UNII code of <X>,,,http://dbpedia.org/ontology/fdaUniiCode,3925
feastDay,"feast day, holiday",what is the feast day of <X>,what is the feast day of <X>,,,,http://dbpedia.org/ontology/feastDay,3931
fighter,fighter,xsd:string,what is the fighter of <X>,what is the fighter of <X>,,,http://dbpedia.org/ontology/fighter,508
filmPolskiId,FilmPolski.pl id,xsd:string,what is the FilmPolski.pl id of <X>,what is the FilmPolski.pl id of <X>,,,,
firstLeader,firstLeader,Person,what is the firstLeader of <X>,what is the firstLeader of <X>,,,http://dbpedia.org/ontology/firstLeader,3299
firstOwner,first owner,Agent,what is the first owner of <X>,what is the first owner of <X>,,,http://dbpedia.org/ontology/firstOwner,3
firstPlace,first place,xsd:string,what is the first place of <X>,what is the first place of <X>,,,,
firstPopularVote,firstPopularVote,Person,what is the firstPopularVote of <X>,what is the firstPopularVote of <X>,,,http://dbpedia.org/ontology/firstPopularVote,21
flag,flag (image),xsd:string,what is the flag (image) of <X>,what is the flag (image) of <X>,,,http://dbpedia.org/ontology/flag,7329
flagBorder,flag border,xsd:string,what is the flag border of <X>,what is the flag border of <X>,,,http://dbpedia.org/ontology/flagBorder,734
flagLink,flag Link,xsd:string,what is the flag Link of <X>,what is the flag Link of <X>,,,http://dbpedia.org/ontology/flagLink,136
floodingDate,flooding date,xsd:date,what is the flooding date of <X>,what is the flooding date of <X>,,,http://dbpedia.org/ontology/floodingDate,16
flora,flora,xsd:string,what is the flora of <X>,what is the flora of <X>,,,http://dbpedia.org/ontology/flora,2
flower,flower,Species,what is the flower of <X>,what is the flower of <X>,,,http://dbpedia.org/ontology/flower,1106
foaf:based_near,based near,owl:Thing,what is the based near of <X>,what is the based near of <X>,,,,
foaf:depiction,depiction from http://xmlns.com/foaf/spec/#term_depiction,Image,what is the depiction from http://xmlns.com/foaf/spec/#term_depiction of <X>,what is the depiction from http://xmlns.com/foaf/spec/#term_depiction of <X>,,,,
foaf:familyName,family name,rdf:langString,what is the family name of <X>,what is the family name of <X>,,,,
foaf:gender,gender,xsd:string,what is the gender of <X>,what is the gender of <X>,,,,
foaf:givenName,given name,rdf:langString,what is the given name of <X>,what is the given name of <X>,,,,
foaf:img,image,owl:Thing,what is the image of <X>,what is the image of <X>,,,,
foaf:isPrimaryTopicOf,A document that this thing is the primary topic of.,foaf:Document,what is the A document that this thing is the primary topic of. of <X>,what is the A document that this thing is the primary topic of. of <X>,,,,
foaf:logo,logo,owl:Thing,what is the logo of <X>,what is the logo of <X>,,,,
foaf:mbox,Email address (mbox),xsd:string,what is the Email address (mbox) of <X>,what is the Email address (mbox) of <X>,,,,
foaf:name,name,rdf:langString,what is the name of <X>,what is the name of <X>,,,,
foaf:nick,nickname,rdf:langString,what is the nickname of <X>,what is the nickname of <X>,,,,
foaf:page,A page or document about this thing.,foaf:Document,what is the A page or document about this thing. of <X>,what is the A page or document about this thing. of <X>,,,,
foaf:phone,Telephone (phone) number,xsd:string,what is the Telephone (phone) number of <X>,what is the Telephone (phone) number of <X>,,,,
