geolocdual,xsd:string,what is the geolocdual of <X>,what is the geolocdual of <X>,,
geologic period,xsd:string,what is the geologic period of <X>,what is the geologic period of <X>,,
geology,xsd:string,what is the geology of <X>,what is the geology of <X>,,
governing body,Organisation,what is the governing body of <X>,what is the governing body of <X>,,
government type,GovernmentType,what is the government type of <X>,what is the government type of <X>,,
governor,Person,what is the governor of <X>,what is the governor of <X>,,
governor general,Person,what is the governor general of <X>,what is the governor general of <X>,,
name in ancient Greek,xsd:string,what is the name in ancient Greek of <X>,what is the name in ancient Greek of <X>,,
green long distance piste number,xsd:nonNegativeInteger,what is the green long distance piste number of <X>,what is the green long distance piste number of <X>,,
green ski piste number,xsd:nonNegativeInteger,what is the green ski piste number of <X>,what is the green ski piste number of <X>,,
grid reference,xsd:string,what is the grid reference of <X>,what is the grid reference of <X>,,
gross domestic product per people,xsd:string,what is the gross domestic product per people of <X>,what is the gross domestic product per people of <X>,,
gross domestic product rank,xsd:string,what is the gross domestic product rank of <X>,what is the gross domestic product rank of <X>,,
has channel,owl:Thing,what is the has channel of <X>,what is the has channel of <X>,,
has input,owl:Thing,what is the has input of <X>,what is the has input of <X>,,
has inside place,Place,what is the has inside place of <X>,what is the has inside place of <X>,,
has outside place,Place,what is the has outside place of <X>,what is the has outside place of <X>,,
undefined,xsd:string,what is the undefined of <X>,what is the undefined of <X>,,
variant or variation,owl:Thing,what is the variant or variation of <X>,what is the variant or variation of <X>,,
height,Length,what is the height of <X>,what is the height of <X>,,
heritage register,owl:Thing,what is the heritage register of <X>,what is the heritage register of <X>,,
highest altitude,Altitude,what is the highest altitude of <X>,what is the highest altitude of <X>,,
highest mountain,Mountain,what is the highest mountain of <X>,what is the highest mountain of <X>,,
highest place,PopulatedPlace,what is the highest place of <X>,what is the highest place of <X>,,
highest position,geo:SpatialThing,what is the highest position of <X>,what is the highest position of <X>,,
highschool,School,what is the highschool of <X>,what is the highschool of <X>,,
historical map,xsd:string,what is the historical map of <X>,what is the historical map of <X>,,
historical name,rdf:langString,what is the historical name of <X>,what is the historical name of <X>,,
home arena,Arena,what is the home arena of <X>,what is the home arena of <X>,,
colour hex code of home jersey or its parts,xsd:string,what is the colour hex code of home jersey or its parts of <X>,what is the colour hex code of home jersey or its parts of <X>,,
home stadium,Stadium,what is the home stadium of <X>,what is the home stadium of <X>,,
honours,owl:Thing,what is the honours of <X>,what is the honours of <X>,,
human development index rank,xsd:string,what is the human development index rank of <X>,what is the human development index rank of <X>,,
image size (px),xsd:integer,what is the image size (px) of <X>,what is the image size (px) of <X>,,
IMDB id,xsd:string,what is the IMDB id of <X>,what is the IMDB id of <X>,,
incumbent,Person,what is the incumbent of <X>,what is the incumbent of <X>,,
individualised GND number,xsd:string,what is the individualised GND number of <X>,what is the individualised GND number of <X>,,
influenced,owl:Thing,what is the influenced of <X>,what is the influenced of <X>,,
influenced by,owl:Thing,what is the influenced by of <X>,what is the influenced by of <X>,,
information,xsd:string,what is the information of <X>,what is the information of <X>,,
information name,xsd:string,what is the information name of <X>,what is the information name of <X>,,
inscription,xsd:string,what is the inscription of <X>,what is the inscription of <X>,,
institution,Organisation,what is the institution of <X>,what is the institution of <X>,,
intercommunality,PopulatedPlace,what is the intercommunality of <X>,what is the intercommunality of <X>,,
introduced,xsd:date,what is the introduced of <X>,what is the introduced of <X>,,
is part of,owl:Thing,what is the is part of of <X>,what is the is part of of <X>,,
is part of (literal),xsd:string,what is the is part of (literal) of <X>,what is the is part of (literal) of <X>,,
is route stop,RouteStop,what is the is route stop of <X>,what is the is route stop of <X>,,
ISNI Id,xsd:string,what is the ISNI Id of <X>,what is the ISNI Id of <X>,,
ISO 3166-1 code,xsd:string,what is the ISO 3166-1 code of <X>,what is the ISO 3166-1 code of <X>,,
iso code of a place,xsd:string,what is the iso code of a place of <X>,what is the iso code of a place of <X>,,
jure language,Language,what is the jure language of <X>,what is the jure language of <X>,,
jurisdiction,owl:Thing,what is the jurisdiction of <X>,what is the jurisdiction of <X>,,
key person,Person,what is the key person of <X>,what is the key person of <X>,,
kindOfLanguage,xsd:string,what is the kindOfLanguage of <X>,what is the kindOfLanguage of <X>,,
kind of coordinate,xsd:string,what is the kind of coordinate of <X>,what is the kind of coordinate of <X>,,
kind of rock,xsd:string,what is the kind of rock of <X>,what is the kind of rock of <X>,,
known for,owl:Thing,what is the known for of <X>,what is the known for of <X>,,
vastest lake,BodyOfWater,what is the vastest lake of <X>,what is the vastest lake of <X>,,
land,Place,what is the land of <X>,what is the land of <X>,,
area of a land,Area,what is the area of a land of <X>,what is the area of a land of <X>,,
land percentage of a place,xsd:float,what is the land percentage of a place of <X>,what is the land percentage of a place of <X>,,
language,Language,what is the language of <X>,what is the language of <X>,,
language regulator or academy,Language,what is the language regulator or academy of <X>,what is the language regulator or academy of <X>,,
name in latin,xsd:string,what is the name in latin of <X>,what is the name in latin of <X>,,
law country,xsd:string,what is the law country of <X>,what is the law country of <X>,,
LCCN Id,xsd:string,what is the LCCN Id of <X>,what is the LCCN Id of <X>,,
leader,Person,what is the leader of <X>,what is the leader of <X>,,
league,SportsLeague,what is the league of <X>,what is the league of <X>,,
length,Length,what is the length of <X>,what is the length of <X>,,
length quote,xsd:string,what is the length quote of <X>,what is the length quote of <X>,,
licensee,xsd:string,what is the licensee of <X>,what is the licensee of <X>,,
lieutenant,Person,what is the lieutenant of <X>,what is the lieutenant of <X>,,
limit,xsd:string,what is the limit of <X>,what is the limit of <X>,,
linked space,xsd:string,what is the linked space of <X>,what is the linked space of <X>,,
list item,owl:Thing,what is the list item of <X>,what is the list item of <X>,,
local authority,owl:Thing,what is the local authority of <X>,what is the local authority of <X>,,
located in area,Place,what is the located in area of <X>,what is the located in area of <X>,,
location,Place,what is the location of <X>,what is the location of <X>,,
państwo,Country,what is the państwo of <X>,what is the państwo of <X>,,
locationName,xsd:string,what is the locationName of <X>,what is the locationName of <X>,,
logo,xsd:string,what is the logo of <X>,what is the logo of <X>,,
long distance piste kilometre,Length,what is the long distance piste kilometre of <X>,what is the long distance piste kilometre of <X>,,
long distance piste number,xsd:nonNegativeInteger,what is the long distance piste number of <X>,what is the long distance piste number of <X>,,
longName,rdf:langString,what is the longName of <X>,what is the longName of <X>,,
lowest,xsd:string,what is the lowest of <X>,what is the lowest of <X>,,
lowest altitude,Altitude,what is the lowest altitude of <X>,what is the lowest altitude of <X>,,
lowest mountain,Mountain,what is the lowest mountain of <X>,what is the lowest mountain of <X>,,
lowest place,PopulatedPlace,what is the lowest place of <X>,what is the lowest place of <X>,,
lowest position,geo:SpatialThing,what is the lowest position of <X>,what is the lowest position of <X>,,
main interest,owl:Thing,what is the main interest of <X>,what is the main interest of <X>,,
main island,Place,what is the main island of <X>,what is the main island of <X>,,
majority floor leader,xsd:integer,what is the majority floor leader of <X>,what is the majority floor leader of <X>,,
majority leader,xsd:integer,what is the majority leader of <X>,what is the majority leader of <X>,,
management,owl:Thing,what is the management of <X>,what is the management of <X>,,
management elevation,Length,what is the management elevation of <X>,what is the management elevation of <X>,,
management mountain,Mountain,what is the management mountain of <X>,what is the management mountain of <X>,,
management place,PopulatedPlace,what is the management place of <X>,what is the management place of <X>,,
management position,geo:SpatialThing,what is the management position of <X>,what is the management position of <X>,,
manager years end year,xsd:gYear,what is the manager years end year of <X>,what is the manager years end year of <X>,,
manager years start year,xsd:gYear,what is the manager years start year of <X>,what is the manager years start year of <X>,,
political mandate,xsd:string,what is the political mandate of <X>,what is the political mandate of <X>,,
manufactory,Factory,what is the manufactory of <X>,what is the manufactory of <X>,,
manufacturer,Organisation,what is the manufacturer of <X>,what is the manufacturer of <X>,,
map,owl:Thing,what is the map of <X>,what is the map of <X>,,
map caption,xsd:string,what is the map caption of <X>,what is the map caption of <X>,,
map description,xsd:string,what is the map description of <X>,what is the map description of <X>,,
mascot,xsd:string,what is the mascot of <X>,what is the mascot of <X>,,
mass,Mass,what is the mass of <X>,what is the mass of <X>,,
material,owl:Thing,what is the material of <X>,what is the material of <X>,,
max,xsd:nonNegativeInteger,what is the max of <X>,what is the max of <X>,,
maximum area,xsd:string,what is the maximum area of <X>,what is the maximum area of <X>,,
maximum area quote,xsd:string,what is the maximum area quote of <X>,what is the maximum area quote of <X>,,
maximum depth,Length,what is the maximum depth of <X>,what is the maximum depth of <X>,,
maximum depth quote,xsd:string,what is the maximum depth quote of <X>,what is the maximum depth quote of <X>,,
maximum discharge,FlowRate,what is the maximum discharge of <X>,what is the maximum discharge of <X>,,
maximum elevation,Length,what is the maximum elevation of <X>,what is the maximum elevation of <X>,,
mayor,Mayor,what is the mayor of <X>,what is the mayor of <X>,,
mayor article,xsd:string,what is the mayor article of <X>,what is the mayor article of <X>,,
mayor councillor,xsd:string,what is the mayor councillor of <X>,what is the mayor councillor of <X>,,
MBA Id,xsd:string,what is the MBA Id of <X>,what is the MBA Id of <X>,,
meaning,xsd:string,what is the meaning of <X>,what is the meaning of <X>,,
media item,File,what is the media item of <X>,what is the media item of <X>,,
MedlinePlus,xsd:string,what is the MedlinePlus of <X>,what is the MedlinePlus of <X>,,
melting point,Temperature,what is the melting point of <X>,what is the melting point of <X>,,
Member of Parliament,Person,what is the Member of Parliament of <X>,what is the Member of Parliament of <X>,,
merger date,xsd:date,what is the merger date of <X>,what is the merger date of <X>,,
military government,xsd:string,what is the military government of <X>,what is the military government of <X>,,
military unit size,xsd:string,what is the military unit size of <X>,what is the military unit size of <X>,,
min,xsd:nonNegativeInteger,what is the min of <X>,what is the min of <X>,,
minimum area,xsd:string,what is the minimum area of <X>,what is the minimum area of <X>,,
minimum area quote,xsd:string,what is the minimum area quote of <X>,what is the minimum area quote of <X>,,
minimum discharge,FlowRate,what is the minimum discharge of <X>,what is the minimum discharge of <X>,,
minimum elevation,Length,what is the minimum elevation of <X>,what is the minimum elevation of <X>,,
minister,Politician,what is the minister of <X>,what is the minister of <X>,,
minority floor leader,xsd:integer,what is the minority floor leader of <X>,what is the minority floor leader of <X>,,
minority leader,xsd:integer,what is the minority leader of <X>,what is the minority leader of <X>,,
mission,SpaceMission,what is the mission of <X>,what is the mission of <X>,,
monarch,Person,what is the monarch of <X>,what is the monarch of <X>,,
month,xsd:string,what is the month of <X>,what is the month of <X>,,
motto,xsd:string,what is the motto of <X>,what is the motto of <X>,,
mouth elevation,Length,what is the mouth elevation of <X>,what is the mouth elevation of <X>,,
municipality,PopulatedPlace,what is the municipality of <X>,what is the municipality of <X>,,
municipality code,xsd:string,what is the municipality code of <X>,what is the municipality code of <X>,,
name,rdf:langString,what is the name of <X>,what is the name of <X>,,
so named since,xsd:gYear,what is the so named since of <X>,what is the so named since of <X>,,
name in Yue Chinese,rdf:langString,what is the name in Yue Chinese of <X>,what is the name in Yue Chinese of <X>,,
name in Hangul-written Korean,rdf:langString,what is the name in Hangul-written Korean of <X>,what is the name in Hangul-written Korean of <X>,,
name in Hanja-written (traditional) Korean,rdf:langString,what is the name in Hanja-written (traditional) Korean of <X>,what is the name in Hanja-written (traditional) Korean of <X>,,
name in Japanese,rdf:langString,what is the name in Japanese of <X>,what is the name in Japanese of <X>,,
name in Mindongyu Chinese,rdf:langString,what is the name in Mindongyu Chinese of <X>,what is the name in Mindongyu Chinese of <X>,,
name in Minnanyu Chinese,rdf:langString,what is the name in Minnanyu Chinese of <X>,what is the name in Minnanyu Chinese of <X>,,
name in Pinyin Chinese,rdf:langString,what is the name in Pinyin Chinese of <X>,what is the name in Pinyin Chinese of <X>,,
name in Simplified Chinese,rdf:langString,what is the name in Simplified Chinese of <X>,what is the name in Simplified Chinese of <X>,,
name in Traditional Chinese,rdf:langString,what is the name in Traditional Chinese of <X>,what is the name in Traditional Chinese of <X>,,
name in the Wade-Giles transscription of Chinese,rdf:langString,what is the name in the Wade-Giles transscription of Chinese of <X>,what is the name in the Wade-Giles transscription of Chinese of <X>,,
named after,owl:Thing,what is the named after of <X>,what is the named after of <X>,,
named by language,Place,what is the named by language of <X>,what is the named by language of <X>,,
National Topographic System map number,xsd:string,what is the National Topographic System map number of <X>,what is the National Topographic System map number of <X>,,
NDL id,xsd:string,what is the NDL id of <X>,what is the NDL id of <X>,,
nearest city,PopulatedPlace,what is the nearest city of <X>,what is the nearest city of <X>,,
neighbour region,xsd:string,what is the neighbour region of <X>,what is the neighbour region of <X>,,
newspaper,PeriodicalLiterature,what is the newspaper of <X>,what is the newspaper of <X>,,
next entity,Place,what is the next entity of <X>,what is the next entity of <X>,,
NLA Id,xsd:string,what is the NLA Id of <X>,what is the NLA Id of <X>,,
nominee,Person,what is the nominee of <X>,what is the nominee of <X>,,
north-east place,Place,what is the north-east place of <X>,what is the north-east place of <X>,,
north place,Place,what is the north place of <X>,what is the north place of <X>,,
north-west place,Place,what is the north-west place of <X>,what is the north-west place of <X>,,
notable work,Work,what is the notable work of <X>,what is the notable work of <X>,,
notes,xsd:string,what is the notes of <X>,what is the notes of <X>,,
number of islands,xsd:string,what is the number of islands of <X>,what is the number of islands of <X>,,
number of pixels (millions),xsd:nonNegativeInteger,what is the number of pixels (millions) of <X>,what is the number of pixels (millions) of <X>,,
number of sports,xsd:nonNegativeInteger,what is the number of sports of <X>,what is the number of sports of <X>,,
number of sports events,xsd:nonNegativeInteger,what is the number of sports events of <X>,what is the number of sports events of <X>,,
number of visitors,xsd:nonNegativeInteger,what is the number of visitors of <X>,what is the number of visitors of <X>,,
NUTS code,xsd:string,what is the NUTS code of <X>,what is the NUTS code of <X>,,
occupation,PersonFunction,what is the occupation of <X>,what is the occupation of <X>,,
Odor,xsd:string,what is the Odor of <X>,what is the Odor of <X>,,
(political) office,xsd:string,what is the (political) office of <X>,what is the (political) office of <X>,,
opening date,xsd:date,what is the opening date of <X>,what is the opening date of <X>,,
opening year,xsd:gYear,what is the opening year of <X>,what is the opening year of <X>,,
operator,owl:Thing,what is the operator of <X>,what is the operator of <X>,,
orbits,xsd:integer,what is the orbits of <X>,what is the orbits of <X>,,
ORCID Id,xsd:string,what is the ORCID Id of <X>,what is the ORCID Id of <X>,,
order in office,xsd:string,what is the order in office of <X>,what is the order in office of <X>,,
organisation,Organisation,what is the organisation of <X>,what is the organisation of <X>,,
origin,PopulatedPlace,what is the origin of <X>,what is the origin of <X>,,
original name,rdf:langString,what is the original name of <X>,what is the original name of <X>,,
originally used for,xsd:string,what is the originally used for of <X>,what is the originally used for of <X>,,
orogeny,owl:Thing,what is the orogeny of <X>,what is the orogeny of <X>,,
output,xsd:float,what is the output of <X>,what is the output of <X>,,
An owl:differentFrom statement indicates that two URI references refer to different individuals,owl:Thing,what is the An owl:differentFrom statement indicates that two URI references refer to different individuals of <X>,what is the An owl:differentFrom statement indicates that two URI references refer to different individuals of <X>,,
same as,owl:Thing,what is the same as of <X>,what is the same as of <X>,,
owner,Agent,what is the owner of <X>,what is the owner of <X>,,
owning company,Company,what is the owning company of <X>,what is the owning company of <X>,,
owning organisation,Organisation,what is the owning organisation of <X>,what is the owning organisation of <X>,,
parent company,Company,what is the parent company of <X>,what is the parent company of <X>,,
parliament,Parliament,what is the parliament of <X>,what is the parliament of <X>,,
parliament type,xsd:string,what is the parliament type of <X>,what is the parliament type of <X>,,
part,owl:Thing,what is the part of <X>,what is the part of <X>,,
partial failed launches,xsd:nonNegativeInteger,what is the partial failed launches of <X>,what is the partial failed launches of <X>,,
party,PoliticalParty,what is the party of <X>,what is the party of <X>,,
party number,xsd:integer,what is the party number of <X>,what is the party number of <X>,,
past member,Person,what is the past member of <X>,what is the past member of <X>,,
patron saint,Person,what is the patron saint of <X>,what is the patron saint of <X>,,
pcc secretary,xsd:string,what is the pcc secretary of <X>,what is the pcc secretary of <X>,,
percentage,owl:Thing,what is the percentage of <X>,what is the percentage of <X>,,
percentage of area water,xsd:float,what is the percentage of area water of <X>,what is the percentage of area water of <X>,,
perimeter,Length,what is the perimeter of <X>,what is the perimeter of <X>,,
event period,owl:Thing,what is the event period of <X>,what is the event period of <X>,,
picture,owl:Thing,what is the picture of <X>,what is the picture of <X>,,
picture description,owl:Thing,what is the picture description of <X>,what is the picture description of <X>,,
pictures Commons category,xsd:string,what is the pictures Commons category of <X>,what is the pictures Commons category of <X>,,
piscicultural population,xsd:string,what is the piscicultural population of <X>,what is the piscicultural population of <X>,,
plant,Plant,what is the plant of <X>,what is the plant of <X>,,
play role,owl:Thing,what is the play role of <X>,what is the play role of <X>,,
playing time,Time,what is the playing time of <X>,what is the playing time of <X>,,
pole,xsd:string,what is the pole of <X>,what is the pole of <X>,,
political leader,PersonFunction,what is the political leader of <X>,what is the political leader of <X>,,
population quote,xsd:string,what is the population quote of <X>,what is the population quote of <X>,,
population total,xsd:nonNegativeInteger,what is the population total of <X>,what is the population total of <X>,,
portfolio,xsd:string,what is the portfolio of <X>,what is the portfolio of <X>,,
position,owl:Thing,what is the position of <X>,what is the position of <X>,,
postal code,xsd:string,what is the postal code of <X>,what is the postal code of <X>,,
predecessor,owl:Thing,what is the predecessor of <X>,what is the predecessor of <X>,,
prefix,xsd:string,what is the prefix of <X>,what is the prefix of <X>,,
president,Person,what is the president of <X>,what is the president of <X>,,
mandate of the president of the general council,xsd:string,what is the mandate of the president of the general council of <X>,what is the mandate of the president of the general council of <X>,,
mandate of the president council of the regional council,xsd:string,what is the mandate of the president council of the regional council of <X>,what is the mandate of the president council of the regional council of <X>,,
previous entity,Place,what is the previous entity of <X>,what is the previous entity of <X>,,
price,Currency,what is the price of <X>,what is the price of <X>,,
prime minister,Person,what is the prime minister of <X>,what is the prime minister of <X>,,
produces,owl:Thing,what is the produces of <X>,what is the produces of <X>,,
production end date,xsd:date,what is the production end date of <X>,what is the production end date of <X>,,
production end year,xsd:gYear,what is the production end year of <X>,what is the production end year of <X>,,
production start date,xsd:date,what is the production start date of <X>,what is the production start date of <X>,,
production start year,xsd:gYear,what is the production start year of <X>,what is the production start year of <X>,,
prominence,Length,what is the prominence of <X>,what is the prominence of <X>,,
pronunciation,xsd:string,what is the pronunciation of <X>,what is the pronunciation of <X>,,
monument protection status,xsd:string,what is the monument protection status of <X>,what is the monument protection status of <X>,,
provides,owl:Thing,what is the provides of <X>,what is the provides of <X>,,
province,Province,what is the province of <X>,what is the province of <X>,,
province link,Province,what is the province link of <X>,what is the province link of <X>,,
publication date,xsd:date,what is the publication date of <X>,what is the publication date of <X>,,
publicly accessible,xsd:string,what is the publicly accessible of <X>,what is the publicly accessible of <X>,,
purpose,xsd:string,what is the purpose of <X>,what is the purpose of <X>,,
quotation,xsd:string,what is the quotation of <X>,what is the quotation of <X>,,
quote,xsd:string,what is the quote of <X>,what is the quote of <X>,,
race,Race,what is the race of <X>,what is the race of <X>,,
race horse,Horse,what is the race horse of <X>,what is the race horse of <X>,,
rank,xsd:string,what is the rank of <X>,what is the rank of <X>,,
rank of an agreement,xsd:nonNegativeInteger,what is the rank of an agreement of <X>,what is the rank of an agreement of <X>,,
rating,xsd:float,what is the rating of <X>,what is the rating of <X>,,
undefined,owl:Thing,what is the undefined of <X>,what is the undefined of <X>,,
undefined,rdf:langString,what is the undefined of <X>,what is the undefined of <X>,,
undefined,rdf:langString,what is the undefined of <X>,what is the undefined of <X>,,
is used to indicate a resource that might provide additional information about the subject resource,owl:Thing,what is the is used to indicate a resource that might provide additional information about the subject resource of <X>,what is the is used to indicate a resource that might provide additional information about the subject resource of <X>,,
subclass of,owl:Thing,what is the subclass of of <X>,what is the subclass of of <X>,,
rebuild date,xsd:date,what is the rebuild date of <X>,what is the rebuild date of <X>,,
record label,RecordLabel,what is the record label of <X>,what is the record label of <X>,,
red long distance piste number,xsd:nonNegativeInteger,what is the red long distance piste number of <X>,what is the red long distance piste number of <X>,,
red ski piste number,xsd:nonNegativeInteger,what is the red ski piste number of <X>,what is the red ski piste number of <X>,,
reference for cultural data,xsd:string,what is the reference for cultural data of <X>,what is the reference for cultural data of <X>,,
reference for general data,xsd:string,what is the reference for general data of <X>,what is the reference for general data of <X>,,
reference for geographic data,xsd:string,what is the reference for geographic data of <X>,what is the reference for geographic data of <X>,,
reference for politic data,xsd:string,what is the reference for politic data of <X>,what is the reference for politic data of <X>,,
regency,PopulatedPlace,what is the regency of <X>,what is the regency of <X>,,
region,Place,what is the region of <X>,what is the region of <X>,,
region link,xsd:string,what is the region link of <X>,what is the region link of <X>,,
region type,xsd:string,what is the region type of <X>,what is the region type of <X>,,
regional prefecture,xsd:string,what is the regional prefecture of <X>,what is the regional prefecture of <X>,,
registry,xsd:string,what is the registry of <X>,what is the registry of <X>,,
related,owl:Thing,what is the related of <X>,what is the related of <X>,,
related places,List,what is the related places of <X>,what is the related places of <X>,,
release date,xsd:date,what is the release date of <X>,what is the release date of <X>,,
relief,xsd:string,what is the relief of <X>,what is the relief of <X>,,
religion,owl:Thing,what is the religion of <X>,what is the religion of <X>,,
religious head,Person,what is the religious head of <X>,what is the religious head of <X>,,
reopened,xsd:date,what is the reopened of <X>,what is the reopened of <X>,,
number of representatives,xsd:nonNegativeInteger,what is the number of representatives of <X>,what is the number of representatives of <X>,,
requirement,xsd:string,what is the requirement of <X>,what is the requirement of <X>,,
restore date,xsd:date,what is the restore date of <X>,what is the restore date of <X>,,
restriction,xsd:string,what is the restriction of <X>,what is the restriction of <X>,,
relation time,xsd:string,what is the relation time of <X>,what is the relation time of <X>,,
retired,xsd:date,what is the retired of <X>,what is the retired of <X>,,
RID Id,xsd:string,what is the RID Id of <X>,what is the RID Id of <X>,,
river,River,what is the river of <X>,what is the river of <X>,,
RKDartists id,xsd:string,what is the RKDartists id of <X>,what is the RKDartists id of <X>,,
role,xsd:string,what is the role of <X>,what is the role of <X>,,
route,xsd:string,what is the route of <X>,what is the route of <X>,,
royal anthem,owl:Thing,what is the royal anthem of <X>,what is the royal anthem of <X>,,
running mate,Person,what is the running mate of <X>,what is the running mate of <X>,,
sales,Sales,what is the sales of <X>,what is the sales of <X>,,
scale,xsd:string,what is the scale of <X>,what is the scale of <X>,,
score,xsd:double,what is the score of <X>,what is the score of <X>,,
sea,Sea,what is the sea of <X>,what is the sea of <X>,,
secondLeader,Person,what is the secondLeader of <X>,what is the secondLeader of <X>,,
second place,xsd:string,what is the second place of <X>,what is the second place of <X>,,
secondPopularVote,Person,what is the secondPopularVote of <X>,what is the secondPopularVote of <X>,,
SELIBR Id,xsd:string,what is the SELIBR Id of <X>,what is the SELIBR Id of <X>,,
senator,Person,what is the senator of <X>,what is the senator of <X>,,
seniority,xsd:string,what is the seniority of <X>,what is the seniority of <X>,,
series,owl:Thing,what is the series of <X>,what is the series of <X>,,
session number,xsd:integer,what is the session number of <X>,what is the session number of <X>,,
settlement,PopulatedPlace,what is the settlement of <X>,what is the settlement of <X>,,
setup time,Time,what is the setup time of <X>,what is the setup time of <X>,,
show,TelevisionShow,what is the show of <X>,what is the show of <X>,,
similar,owl:Thing,what is the similar of <X>,what is the similar of <X>,,
siren number,xsd:nonNegativeInteger,what is the siren number of <X>,what is the siren number of <X>,,
size blazon,xsd:string,what is the size blazon of <X>,what is the size blazon of <X>,,
size logo,xsd:nonNegativeInteger,what is the size logo of <X>,what is the size logo of <X>,,
size map,xsd:string,what is the size map of <X>,what is the size map of <X>,,
