;;;in which films did <A> as well as <B> play?;select distinct ?uri where { ?uri rdf:type dbo:Film . ?uri dbo:starring <A> . ?uri dbo:starring <B> };select distinct ?a, ?b where {  ?uri rdf:type dbo:Film . ?uri dbo:starring ?a . ?uri dbo:starring ?b  };
<http://dbpedia.org/class/yago/Actor109765278>;dbo:Film;;is <A> starring in <B>?;ask where { <A> dbo:starring <B> . };select distinct ?a, ?b where {  ?a dbo:starring ?b .  };
dbo:Broadcaster;dbo:TelevisionShow;;list all episodes of the first season of the <A> television series <B>!;select distinct ?uri where { ?uri dbo:series <B> . ?uri dbo:seasonNumber 1 . <B> dbo:network <A> };select distinct ?a, ?b where {  ?uri dbo:series ?b . ?uri dbo:seasonNumber 1 . ?b dbo:network ?a };
;;;list all the musicals with music by <A>.;select distinct ?uri where { ?uri rdf:type dbo:Musical . ?uri dbo:musicBy <A> . };select distinct ?a where {  ?uri rdf:type dbo:Musical . ?uri dbo:musicBy ?a.  };
;;;show me <A>’s autobiography ;select distinct ?uri where { ?uri dbo:author <A> . ?uri dbo:literaryGenre dbr:Autobiography. };select distinct ?a where {  ?uri dbo:author ?a . ?uri dbo:literaryGenre dbr:Autobiography  };
;;;show me all books in <A> series.;select distinct ?uri where { ?uri dbo:series <A>.  ?uri rdf:type dbo:Book};select distinct ?a where {  ?uri dbo:series ?a . ?uri rdf:type dbo:Book.  };
;;;show me the book that <A> wrote.;select distinct ?uri where { ?uri rdf:type dbo:Book . ?uri dbo:author <A>. };select distinct ?a where {  ?uri rdf:type dbo:Book . ?uri dbo:author ?a.  };
;dbo:Artwork;;to which artistic movement did the artist of the <A> belong?;select distinct ?uri where { <A> dbo:author ?person . ?person dbo:movement ?uri . ?person rdf:type dbo:Artist };select distinct ?a where {  ?a dbo:author ?person . ?person dbo:movement ?uri . ?person rdf:type dbo:Artist  };
;;;what is <A>’s real name?;select distinct ?s where { <A> dbp:alterEgo ?s . };select distinct ?a where {  ?a dbp:alterEgo ?s .  };
dbo:Artist;dbo:Work;;what was the first <A> <B>?;select distinct ?uri where { ?uri a <B>. ?uri dbo:artist <A> . ?uri dbo:releaseDate ?d . } order by asc(?d) offset 0 limit 1;select distinct ?a, ?b where {  ?uri a ?b. ?uri dbo:artist ?a . ?uri dbo:releaseDate ?d .  };
<http://dbpedia.org/class/yago/Actor109765278>;;;what was the last movie with <A>?;select distinct ?uri where { ?uri rdf:type dbo:Film . ?uri dbo:starring <A> . ?uri dbo:releaseDate ?date . } order by desc(?date) limit 1;select distinct ?a where {  ?uri rdf:type dbo:Film . ?uri dbo:starring ?a . ?uri dbo:releaseDate ?date .  };
dbo:Work;dbo:Artist;dbo:Publisher;which <A> by <B> were published by <C>?;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:publisher <C> . ?uri dbo:author <B> . };select distinct ?a, ?b, ?c where {  ?uri rdf:type ?a . ?uri dbo:publisher ?c . ?uri dbo:author ?b .  };
dbo:Work;dbo:Artist;;which <A> were created by <B>?;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:creator <B> . };select distinct ?a, ?b where {  ?uri rdf:type ?a . ?uri dbo:creator ?b .  };
;;;which <A> won an oscar?;select distinct ?uri where { { ?uri dbo:field <A> . } union { ?uri dc:description ?s . filter regex(?s,'<A>','i') } ?uri dbo:award dbr:Academy_Awards . };select distinct ?a where { ?uri dbo:field ?a .  };
dbo:WrittenWork;;;which <A>has the most pages?;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:numberOfPages ?n . } order by desc(?n) offset 0 limit 1;select distinct ?a where {  ?uri rdf:type ?a . ?uri dbo:numberOfPages ?n .  };
<http://dbpedia.org/class/yago/PrizeWinner109627807>;;;which awards did <A> win?;select distinct ?uri where { <A> dbo:award ?uri . };select distinct ?a where {  ?a dbo:award ?uri .  };
<http://dbpedia.org/class/yago/FilmDirector110088200>;;;which films did <A> direct?;select distinct ?uri where { ?uri dbo:director <A> . };select distinct ?a where {  ?uri dbo:director ?a .  };
<http://dbpedia.org/class/yago/FilmDirector110088200>;;;which movies did <A> direct?;select distinct ?uri where { ?uri rdf:type dbo:Film . ?uri dbo:director <A> . };select distinct ?a where {  ?uri rdf:type dbo:Film . ?uri dbo:director ?a .  };
<http://dbpedia.org/class/yago/Actor109765278>;<http://dbpedia.org/class/yago/FilmDirector110088200>;;which movies starring <A> were directed by <B>?;select distinct ?uri where { ?uri rdf:type dbo:Film . ?uri dbo:starring <A> . ?uri dbo:director <B> . };select distinct ?a, ?b where {  ?uri rdf:type dbo:Film . ?uri dbo:starring ?a . ?uri dbo:director ?b .  };
dbo:Artwork;dbo:Artist;;which museum exhibits the <A> by <B>?;select distinct ?uri where { <A> dbo:museum ?uri . <A> dbo:author  <B>};select distinct ?a, ?b where {  ?a dbo:museum ?uri . ?a dbo:author  ?b };
<http://dbpedia.org/class/yago/FilmDirector110088200>;;;which of <A> films had the highest budget?;select distinct ?uri where { ?uri dbo:director <A> . ?uri dbo:budget ?b . } order by ?b offset 0 limit 1;select distinct ?a where {  ?uri dbo:director ?a . ?uri dbo:budget ?y .  };
dbo:Work;;;who composed the music for <A>?;select distinct ?uri where { <A> dbo:musicComposer ?uri . };select distinct ?a where {  ?a dbo:musicComposer ?uri .  };
dbo:Work;;;who composed the soundtrack for <A>?;select distinct ?uri where { <A> dbo:musicComposer ?uri . };select distinct ?a where {  ?a dbo:musicComposer ?uri .  };
dbo:Book;;;who created <A>?;select distinct ?uri where { <A> dbo:author ?uri . };select distinct ?a where {  ?a dbo:author ?uri .  };
dbo:Work;;;who created <A>?;select distinct ?uri where { <A> dbo:creator ?uri . };select distinct ?a where {  ?a dbo:creator ?uri .  };
dbo:ArchitecturalStructure;;;who designed the <A>?;select distinct ?uri where { <A> dbo:architect ?uri . };select distinct ?a where {  ?a dbo:architect ?uri .  };
dbo:Country;<http://dbpedia.org/class/yago/FilmMaker110088390>;;who is starring in <A> movies produced by <B>?;select distinct ?uri where { ?film rdf:type dbo:Film . ?film dbo:country <A> . ?film dbo:producer <B> . ?film dbo:starring ?uri . ?uri rdf:type dbo:Person . };select distinct ?a, ?b where {  ?film rdf:type dbo:Film . ?film dbo:country ?a . ?film dbo:producer ?b . ?film dbo:starring ?uri . ?uri rdf:type dbo:Person .  };
dbo:Work;;;who is the editor of <A>?;select distinct ?uri where { <A> dbo:editor ?uri . };select distinct ?a where {  ?a dbo:editor ?uri .  };
dbo:Work;;;who is the host of the <A>?;select distinct ?uri where { <A> dbo:presenter ?uri . };select distinct ?a where {  ?a dbo:presenter ?uri .  };
<http://dbpedia.org/class/yago/Painting103876519>;;;who painted the <A>?;select distinct ?uri where { <A> dbo:author ?uri . };select distinct ?a where {  ?a dbo:author ?uri .  };
;;;who played <A> in <B>?;select distinct ?uri where { <A> dbp:portrayer ?uri . <A> dbo:series <B>. };select distinct ?a, ?b where {  ?a dbp:portrayer ?uri . ?a dbo:series ?b.  };
dbo:Artist;;;who was <A> inspired by?;select distinct ?uri where { ?uri dbo:influenced <A> . };select distinct ?a where {  ?uri dbo:influenced ?a .  };
;;;who wrote the <A> theme?;select distinct ?uri where { <A> dbo:composer ?uri. <A> rdf:type dbo:TelevisionShow. };select distinct ?a where {  ?a dbo:composer ?uri. ?a rdf:type dbo:TelevisionShow.  };
dbo:Book;;;who wrote the book <A>?;select distinct ?uri where { <A> dbo:author ?uri . ?uri rdf:type dbo:Book};select distinct ?a where {  ?a dbo:author ?uri . ?uri rdf:type dbo:Book };
;;;who wrote the song <A>?;select distinct ?uri where { <A> dbo:writer ?uri . <A> rdf:type dbo:Song };select distinct ?a where {  ?a dbo:writer ?uri . ?a rdf:type dbo:Song  };
dbo:Infrastructure;dbo:Organisation;;give me all <A> operated by <B>.;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:operator <B> . };select distinct ?a, ?b where {  ?uri rdf:type ?a . ?uri dbo:operator ?b .  };
dbo:Organisation;dbo:Organisation;;how many <A> were founded in the same year as <B>?;select (count(distinct ?uri) as ?c) where { ?uri rdf:type <A> . ?uri dbo:foundingYear ?year . <B> dbo:foundingYear ?year . <B> a <A>};select distinct ?a, ?b where {  ?uri rdf:type ?a . ?uri dbo:foundingYear ?year . ?b dbo:foundingYear ?year .  };
dbo:Company;;;how many companies were founded by the founder of <A>?;select (count(distinct ?uri) as ?c) where { <A> dbo:foundedBy ?y . ?uri dbo:foundedBy ?y . };select distinct ?a where {  ?a dbo:foundedBy ?uri . };
;;;in which <A> city are the headquarters of the <B>?;select distinct ?uri where { <B> dbo:headquarter ?uri . ?uri dbo:country <A> . };select distinct ?a, ?b where {  ?b dbo:headquarter ?uri . ?uri dbo:country ?a .  };
dbo:Company;;;what country is <A> from?;select distinct ?uri where { <A> dbo:foundationPlace ?uri . };select distinct ?a where {  ?a dbo:foundationPlace ?uri .  };
dbo:Company;;;when was <A> founded?;select distinct ?year where { <A> dbo:foundingYear ?year . };select distinct ?a where {  ?a dbo:foundingYear ?year .  };
;;;which <A> companies were founded in <B>?;select distinct ?uri where { ?uri a dbo:Company . ?uri dbo:industry <A> . ?uri dbo:foundationPlace <B> . };select distinct ?a, ?b where {  ?uri a dbo:Company . ?uri dbo:industry ?a . ?uri dbo:foundationPlace ?b .  };
;;;which <A> company has the most employees?;select distinct ?uri where { ?uri a dbo:Company . ?uri dbo:location <A> . ?uri dbo:numberOfEmployees ?n . } order by desc(?n) offset 0 limit 1;select distinct ?a where {  ?uri a dbo:Company . ?uri dbo:location ?a . ?uri dbo:numberOfEmployees ?n .  };
dbo:Airline;;;which airports does <A> serve?;select distinct ?uri where { <A> dbo:targetAirport ?uri . };select distinct ?a where {  ?a dbo:targetAirport ?uri .  };
;;;which companies produce <A>?;select distinct ?uri where { ?uri a dbo:Company . ?uri dbo:product <A> . };select distinct ?a where {  ?uri a dbo:Company . ?uri dbo:product ?a .  };
dbo:Airline;dbo:Airport;dbo:Airport;which subsidiary of <A> serves both <B> and <C>?;select distinct ?uri where { <A> dbo:subsidiary ?uri . ?uri dbo:targetAirport <B> . ?uri dbo:targetAirport <C> . };select distinct ?a, ?b, ?c where {  ?a dbo:subsidiary ?uri . ?uri dbo:targetAirport ?b . ?uri dbo:targetAirport ?c .  };
dbo:Company;;;who is the founder of <A>?;select distinct ?uri where { <A> dbo:founder ?uri . };select distinct ?a where {  ?a dbo:founder ?uri .  };
dbo:Person;dbo:Company;;who was the <A> that founded the <B>?;select ?uri where { ?uri rdf:type <A> . <B> dbo:foundedBy ?uri . };select distinct ?a, ?b where {  ?uri rdf:type ?a . ?b dbo:foundedBy ?uri .  };
<http://dbpedia.org/class/yago/WikicatVideoGameDevelopmentCompanies>;;;give me all video games published by <A>;select distinct ?uri where { ?uri rdf:type dbo:VideoGame . ?uri dbo:publisher <A>};select distinct ?a where {  ?uri rdf:type dbo:VideoGame . ?uri dbo:publisher ?a };
dbo:Software;;;in which programming language is <A> written?;select distinct ?uri where { <A> dbo:programmingLanguage ?uri . };select distinct ?a where {  ?a dbo:programmingLanguage ?uri .  };
;;;is there a video game called <A>?;ask where { ?uri rdf:type dbo:VideoGame . ?uri rdfs:label <A> . };select distinct ?a where { ?a a dbo:VideoGame  };
;;;list all video games by <A>.;select distinct ?uri where { ?uri dbo:publisher <A> . ?uri rdf:type dbo:VideoGame};select distinct ?a where {  ?uri dbo:publisher ?a . ?uri rdf:type dbo:VideoGame };
dbo:Software;;;who are the developers of <A>?;select distinct ?uri where { <A> dbo:developer ?uri . };select distinct ?a where {  ?a dbo:developer ?uri .  };
dbo:Software;;;who developed <A>?;select distinct ?uri where { ?uri dbo:product <A> . };select distinct ?a where {  ?uri dbo:product ?a .  };
dbo:Software;dbo:Software;;who developed the <B> <A>?;select distinct ?uri where { <A> dbo:developer ?uri . <A> rdf:type <B> };select distinct ?a, ?b where {  ?a dbo:developer ?uri . ?a rdf:type ?b  };
dbo:Person;;;does <A>’s death place have a website?;ask where { <A> dbo:deathPlace ?p . ?p dbo:website ?w . };select distinct ?a where {  };
dbo:River;dbo:BodyOfWater;;does the <A> flow into a <B>?;ask where { ?x dbo:inflow <A> . ?x rdf:type <B> . };select distinct ?a, ?b where {  ?x dbo:inflow ?a . ?x rdf:type ?b .  };
;;;from which region is the <A>?;select distinct ?uri where { <A> dbo:wineRegion ?uri . };select distinct ?a where {  ?a dbo:wineRegion ?uri .  };
dbo:Place;dbo:Place;;give me all <A> in <B> with more than 1000000 inhabitants.;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:isPartOf <B> . ?uri dbp:populationTotal ?inhabitants . filter (?inhabitants > 1000000) . };select distinct ?a, ?b where {  ?uri rdf:type ?a . ?uri dbo:isPartOf ?b . ?uri dbp:populationTotal ?inhabitants .  };
dbo:Mountain;;;how high is the <A>?;select distinct ?num where { <A> dbo:elevation ?num. };select distinct ?a where {  ?a dbo:elevation ?num.  };
dbo:Building;;;how high is the <A>?;select distinct ?num where { <A> dbo:height ?num . };select distinct ?a where {  ?a dbo:height ?num .  };
;;;how many <A> are there?;select distinct ?number where { <A> dbo:numberOfLocations ?number . };select distinct ?a where {  ?a dbo:numberOfLocations ?number .  };
dbo:Country;;;how many inhabitants does the largest city in <A> have?;select distinct ?num where { <A> dbo:largestCity ?city . ?city dbo:populationTotal ?num . };select distinct ?a where {  ?a dbo:largestCity ?city . ?city dbo:populationTotal ?num .  };
dbo:Country;;;how many languages are spoken in <A>?;select (count(distinct ?uri) as ?c) where { ?uri rdf:type dbo:Language . <A> dbo:language ?uri . };select distinct ?a where {  ?uri rdf:type dbo:Language . ?a dbo:language ?uri .  };
dbo:City;;;how many people live in <A>?;select distinct ?uri where { <A> dbo:populationTotal ?uri . };select distinct ?a where {  ?a dbo:populationTotal ?uri .  };
dbo:Country;;;how many people live in the capital of <A>?;select distinct ?num where { <A> dbo:capital ?x . ?x dbo:populationTotal ?num . };select distinct ?a where {  ?a dbo:capital ?x . ?x dbo:populationTotal ?num .  };
;;;in what city is the <A> brewery?;select distinct ?uri where { <A> dbo:manufacturer ?x . ?x dbo:locationCity ?uri . <A> dbp:type dbr:Beer};select distinct ?a where {  ?a dbp:type dbr:Beer };
dbo:PopulatedPlace;;;in which <A> do people speak <B>?;select distinct ?uri where { ?uri a <A> . ?uri dbo:language <B> . };select distinct ?a, ?b where {  ?uri a ?a . ?uri dbo:language ?b .  };
;;;in which <A> state is <B> located?;select distinct ?uri where { <B> dbp:location ?uri . ?uri dbo:country <A> . };select distinct ?a, ?b where {  ?b dbp:location ?uri . ?uri dbo:country ?a .  };
dbo:PopulatedPlace;;;in which <A> was the <B> born?;select distinct ?uri where { ?x dbp:office <B> . ?x dbo:birthPlace ?uri . ?uri a <A> . };select distinct ?a, ?b where {  ?x dbp:office ?b . ?x dbo:birthPlace ?uri . ?uri a ?a .  };
;;;in which ancient empire could you pay with <A>?;select distinct ?uri where { ?uri dbo:currency <A> . ?uri a <http://dbpedia.org/class/yago/Empire108557482>};select distinct ?a where {  ?uri dbo:currency ?a . ?uri a <http://dbpedia.org/class/yago/Empire108557482>};
dbo:Building;;;in which city are <A>?;select distinct ?uri where { <A> dbo:location ?uri . ?uri a dbo:City . };select distinct ?a where {  ?a dbo:location ?uri . ?uri a dbo:City .  };
dbo:Person;;;in which city did <A> die?;select distinct ?uri where { <A> dbo:deathPlace ?uri . ?uri rdf:type dbo:City . };select distinct ?a where {  ?a dbo:deathPlace ?uri . ?uri rdf:type dbo:City .  };
dbo:Road;;;in which city does <A> end?;select distinct ?uri where { <A> dbo:routeEnd ?uri . };select distinct ?a where {  ?a dbo:routeEnd ?uri .  };
dbo:Person;;;in which city does <A> live?;select distinct ?uri where { ?uri a dbo:City . <A> dbo:residence ?uri . };select distinct ?a where {  ?uri a dbo:City . ?a dbo:residence ?uri .  };
dbo:River;;;in which country does the <A> start?;select distinct ?uri where { <A> dbo:sourceCountry ?uri . };select distinct ?a where {  ?a dbo:sourceCountry ?uri .  };
dbo:Road;;;in which country does the <A> start?;select distinct ?uri where { <A> dbo:sourceCountry ?uri . };select distinct ?a where {  ?a dbo:sourceCountry ?uri .  };
dbo:PopulatedPlace;;;in which country is <A> located?;select distinct ?uri where { <A> dbo:country ?uri . };select distinct ?a where {  ?a dbo:country ?uri .  };
dbo:NaturalPlace;;;in which country is the <A>?;select distinct ?uri where { <A> dbo:country ?uri . };select distinct ?a where {  ?a dbo:country ?uri .  };
dbo:City;;;in which time zone is <A>?;select distinct ?uri where { <A> dbo:timeZone ?uri . };select distinct ?a where {  ?a dbo:timeZone ?uri .  };
dbo:Person;;;in which town did <A> die?;select distinct ?uri where { <A> dbo:deathPlace ?uri . ?uri a dbo:City . };select distinct ?a where {  ?a dbo:deathPlace ?uri .};
dbo:BodyOfWater;;;is <A> bigger than the <B>?;ask where { <A> dbo:areaTotal ?a1 . <B> dbo:areaTotal ?a2 . filter (?a1 > ?a2) };select distinct ?a, ?b where {  ?a dbo:areaTotal ?a1 . ?b dbo:areaTotal ?a2 . };
;;;through which countries does the <A> flow?;select distinct ?uri where { <A> dbp:country ?uri . <A> rdf:type dbo:River};select distinct ?a where {  ?a dbp:country ?uri . ?a rdf:type dbo:River };
dbo:City;;;to which party does the mayor of <A> belong?;select distinct ?uri where { <A> dbo:mayor ?x . ?x dbo:party ?uri . };select distinct ?a where {  ?a dbo:mayor ?x . ?x dbo:party ?uri .  };
dbo:NaturalPlace;;;what country is <A> in?;select distinct ?uri where { <A> dbo:locatedInArea ?uri . ?uri rdf:type dbo:Country . };select distinct ?a where {  ?a dbo:locatedInArea ?uri . ?uri rdf:type dbo:Country .  };
;;;what is the area code of <A>?;select distinct ?string where { <A> dbo:areaCode ?string . };select distinct ?a where {  ?a dbo:areaCode ?string .  };
dbo:SportFacility;;;what is the biggest <A> in <B>?;select distinct ?uri where { ?uri a <A> . ?uri dbo:location <B> . ?uri dbo:seatingCapacity ?n . } order by desc(?n) offset 0 limit 1;select distinct ?a, ?b where {  ?uri a ?a . ?uri dbo:location ?b . ?uri dbo:seatingCapacity ?n .  };
;;;what is the capital of <A>?;select distinct ?uri where { <A> dbo:capital ?uri. };select distinct ?a where {  ?a dbo:capital ?uri.  };
;;;what is the largest <A> in the world?;select distinct ?uri where { ?uri a <A> . ?uri dbo:areaTotal ?n . } order by desc(?n) offset 0 limit 1;select distinct ?a where {  ?uri a ?a . ?uri dbo:areaTotal ?n .  };
;;;what is the largest city in <A>?;select distinct ?uri where { <A> dbo:largestCity ?uri . };select distinct ?a where {  ?a dbo:largestCity ?uri .  };
;;;what is the location of the <A>?;select ?uri where { <A> dbo:location ?uri . };select distinct ?a where {  ?a dbo:location ?uri .  };
dbo:City;;;what is the time zone of <A>?;select distinct ?uri where { <A> dbp:timezone ?uri . };select distinct ?a where {  ?a dbp:timezone ?uri .  };
dbo:City;;;what is the timezone in <A>?;select distinct ?uri where { <A> dbo:timeZone ?uri . };select distinct ?a where {  ?a dbo:timeZone ?uri .  };
dbo:PopulatedPlace;;;what is the total population of <A>?;select ?uri where { <A> dbo:populationTotal ?uri . };select distinct ?a where {  ?a dbo:populationTotal ?uri .  };
dbo:Road;;;where does <A> start?;select distinct ?uri where { ?uri dbo:routeStart <A>. };select distinct ?a where {  ?uri dbo:routeStart ?a.  };
;;;where in <A> is <B> wine produced?;select distinct ?uri where { ?uri dbo:wineProduced <B> . ?uri dbo:location <A> . };select distinct ?a, ?b where {  ?uri dbo:wineProduced ?b . ?uri dbo:location ?a .  };
dbo:PopulatedPlace;;;which <A> has the least inhabitants?;select distinct ?uri where { ?uri rdf:type <A>. ?uri dbo:populationTotal ?pop . } order by asc(?pop) offset 0 limit 1;select distinct ?a where {  ?uri rdf:type ?a. ?uri dbo:populationTotal ?pop .  };
dbo:PopulatedPlace;;;which <A> has the most inhabitants?;select distinct ?uri where { ?uri rdf:type <A> . ?uri dbo:populationTotal ?pop . } order by desc(?pop) offset 0 limit 1;select distinct ?a where {  ?uri rdf:type ?a . ?uri dbo:populationTotal ?pop .  };
dbo:Place;dbo:PopulatedPlace;;which <A> in <B> has the most visitors?;select distinct ?uri where { ?uri rdf:type <A>. ?uri dbo:location <B> . ?uri dbo:numberOfVisitors ?num . } order by desc(?num) offset 0 limit 1;select distinct ?a, ?b where {  ?uri rdf:type ?a. ?uri dbo:location ?b . ?uri dbo:numberOfVisitors ?num .  };
;;;which cities does the <A> flow through?;select distinct ?uri where { <A> dbo:city ?uri . <A> rdf:type dbo:River};select distinct ?a where {  ?a dbo:city ?uri . ?a rdf:type dbo:River };
dbo:Work;;;which country does the creator of <A> come from?;select distinct ?uri where { <A> dbo:creator ?x . ?x dbo:nationality ?uri . };select distinct ?a where {  ?a dbo:creator ?x . ?x dbo:nationality ?uri .  };
dbo:Bridge;;;which river does the <A> cross?;select distinct ?uri where { <A> dbo:crosses ?uri . };select distinct ?a where {  ?a dbo:crosses ?uri .  };
;;;what color express <A>?;select distinct ?uri where { ?uri dbo:connotation <A> . };select distinct ?a where {  ?uri dbo:connotation ?a .  };
;;;what does <A> stand for?;select distinct ?uri where { ?uri dbo:abbreviation '<A>' . };select distinct ?a where {  ?uri dbo:abbreviation ?a.  };
;;;what is the bridge with the longest span?;select distinct ?uri where { ?uri rdf:type dbo:Bridge . ?uri dbo:mainspan ?s . } order by desc(?s) offset 0 limit 1;select distinct ?a where {};
dbo:Country;;;what is the currency of <A>?;select distinct ?uri where { <A> dbo:currency ?uri . };select distinct ?a where {  ?a dbo:currency ?uri .  };
;;;which types of grapes grow in <A>?;select distinct ?uri where { <A> dbo:growingGrape ?uri . };select distinct ?a where {  ?a dbo:growingGrape ?uri .  };
dbo:Person;dbo:EducationalInstitution;;did <A> attend a <B>?;ask where { <A> dbo:almaMater ?x . ?x rdf:type <B> . };select distinct ?a, ?b where {  ?a dbo:almaMater ?x . ?x rdf:type ?b .  };
;dbo:Award;;did <A> ever win the <B>;ask where { <A> dbo:award <B> };select distinct ?a, ?b where {  ?a dbo:award ?b  };
dbo:Person;;;did <A> have children?;ask where { <A> dbo:child ?uri . };select distinct ?a where {  ?a dbo:child ?uri .  };
dbo:Person;dbo:Person;;did <A> influence <B>?;ask where { <B> dbo:influencedBy <A> . };select distinct ?a, ?b where {  ?b dbo:influencedBy ?a .  };
dbo:Person;dbo:Person;;do <A> and <B> have the same parents?;ask where { <B> dbo:parent ?x . <A> dbo:parent ?x . };select distinct ?a, ?b where {  ?b dbo:parent ?x . ?a dbo:parent ?x .  };
dbo:Person;;;give me the grandchildren of <A>.;select distinct ?uri where { <A> dbo:child ?child . ?child dbo:child ?uri . };select distinct ?a where {  };
dbo:Person;;;how many children did <A> have?;select (count(distinct ?uri) as ?c) where { <A> dbo:child ?uri . };select distinct ?a where {  ?a dbo:child ?uri .  };
dbo:Person;;;how often did <A> marry?;select (count(distinct ?uri) as ?c) where { <A> dbo:spouse ?uri . };select distinct ?a where {  ?a dbo:spouse ?uri .  };
dbo:Person;;;how tall is <A>?;select distinct ?height where { <A> dbo:height ?height . };select distinct ?a where {  ?a dbo:height ?height .  };
dbo:Person;;;in which military conflicts did <A> participate?;select distinct ?uri where { <A> dbo:battle ?uri . };select distinct ?a where {  ?a dbo:battle ?uri .  };
dbo:Person;;;in which year was <A> born?;select distinct ?uri where { <A> dbo:birthYear ?uri . };select distinct ?a where {  ?a dbo:birthYear ?uri .  };
dbo:Person;;;is <A> married?;ask where { <A> dbo:spouse ?uri . };select distinct ?a where {  ?a dbo:spouse ?uri .  };
dbo:Person;;;is <A> still alive?;ask where { optional { <A> dbo:deathDate ?date . } filter (!bound(?date)) };select distinct ?a where {  };
dbo:Person;dbo:Person;;is <A> the wife of <B>?;ask where { <B> dbo:spouse <A> . };select distinct ?a, ?b where {  ?b dbo:spouse ?a .  };
